AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
District of Columbia Public Schools,2024/05/06 04:00:00+00,1916,SCOTT BUSINESS SERVICE,DC,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526983
Fire & Emergency Medical Services,2024/05/06 04:00:00+00,-109.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,526984
Fire & Emergency Medical Services,2024/05/06 04:00:00+00,1613.49,IN *FITNESS MACHINE TE,CA,MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,2024/06/11 15:15:49+00,526985
Fire & Emergency Medical Services,2024/05/06 04:00:00+00,1250,IN *FITNESS MACHINE TE,CA,MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,2024/06/11 15:15:49+00,526986
District of Columbia Public Schools,2024/05/06 04:00:00+00,154.2,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,526987
District of Columbia Public Schools,2024/05/06 04:00:00+00,329,SCHOOL NURSE SUPPLY IN,IL,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP + SUPPLIES,2024/06/11 15:15:49+00,526991
District of Columbia Public Schools,2024/05/06 04:00:00+00,551.2,ISTOCKPHOTO,NY,COMMERCIAL ART  GRAPHICS  PHOTOGRAPHY,2024/06/11 15:15:49+00,526995
Fire & Emergency Medical Services,2024/05/06 04:00:00+00,4996.04,IN *CHALLENGE DESIGN,IL,CONTRACTORS SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526997
District of Columbia Public Schools,2024/05/06 04:00:00+00,859.79,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,527000
District of Columbia Public Schools,2024/05/06 04:00:00+00,2272.62,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,527001
District of Columbia Public Schools,2024/05/06 04:00:00+00,4593.4,IN *BRISCOE & WOODS SE,CA,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,527002
District Department of Transportation,2024/05/06 04:00:00+00,4465,ANTON PAAR USA INC,VA,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527003
District of Columbia Public Schools,2024/05/06 04:00:00+00,496.6,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527005
District of Columbia Public Schools,2024/05/06 04:00:00+00,383.89,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,527006
District Department of Transportation,2024/05/06 04:00:00+00,3555,GWU CPS MARKETPLACE,DC,COLLEGES  UNIV  PRO SCHOOLS  JUNIOR COLLEGES,2024/06/11 15:15:49+00,527398
District of Columbia Public Schools,2024/05/06 04:00:00+00,3800,CTR ADVNMENT STUDY,GA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,527399
"Department of Insurance, Securities & Banking",2024/05/06 04:00:00+00,995,CSBS/EFSBS ONLINE,,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,527403
Office of the Chief Financial Officer,2024/05/06 04:00:00+00,500,NATIONAL T* INV-1008,FL,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527407
District of Columbia Public Schools,2024/05/06 04:00:00+00,2000,TEACH LEARN THRIVE,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527408
District of Columbia Public Schools,2024/05/06 04:00:00+00,2000,TEACH LEARN THRIVE,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527409
Department of Health,2024/05/06 04:00:00+00,686.2,DELTA,GA,DELTA,2024/06/11 15:15:49+00,527412
Department of Health,2024/05/06 04:00:00+00,581.2,DELTA,GA,DELTA,2024/06/11 15:15:49+00,527413
Fire & Emergency Medical Services,2024/05/06 04:00:00+00,5000,STARLINEEXHIBITS.COM,GA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527803
District of Columbia Public Schools,2024/05/06 04:00:00+00,2321.75,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,527804
District of Columbia Public Schools,2024/05/06 04:00:00+00,1500,IMSE,MI,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527805
District of Columbia Public Schools,2024/05/06 04:00:00+00,1500,IMSE,MI,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527806
District of Columbia Public Schools,2024/05/06 04:00:00+00,1500,IMSE,MI,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527807
District of Columbia Public Schools,2024/05/06 04:00:00+00,152.69,LINKEDIN ADS 953015743,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,527809
Department of Parks & Recreation,2024/05/06 04:00:00+00,3203.92,RF *KENGLA FLAG COMP,MD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,527810
Department of Motor Vehicles,2024/05/06 04:00:00+00,987.5,SIGNS BY TOMORROW,VA,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527811
Department of Motor Vehicles,2024/05/06 04:00:00+00,160,SCOMM INC,MO,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP + SUPPLIES,2024/06/11 15:15:49+00,527812
Department of Health,2024/05/06 04:00:00+00,52.67,EIG,MA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,527815
District of Columbia Public Schools,2024/05/06 04:00:00+00,84.21,ULTIMATE SECURITY DEVI,NJ,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527818
District of Columbia Public Schools,2024/05/06 04:00:00+00,229.04,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527822
District of Columbia Public Schools,2024/05/06 04:00:00+00,902,ACCUTRAIN CORPORATION,VA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,528224
District of Columbia Public Schools,2024/05/06 04:00:00+00,902,ACCUTRAIN CORPORATION,VA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,528225
District of Columbia Public Schools,2024/05/06 04:00:00+00,-11.47,DISPUTE CREDIT,IL,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,528599
District of Columbia Public Schools,2024/05/06 04:00:00+00,202.47,DISPUTE REBILL,IL,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,528600
District of Columbia Public Schools,2024/05/06 04:00:00+00,79.96,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,528610
District of Columbia Public Schools,2024/05/06 04:00:00+00,140.3,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,528611
Fire & Emergency Medical Services,2024/05/06 04:00:00+00,2523.57,SAFEWARE-MOTO,MD,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,528630
Department of Small & Local Business Development,2024/05/06 04:00:00+00,3039.33,FASTSIGNS OF DC,DC,COMMERCIAL ART  GRAPHICS  PHOTOGRAPHY,2024/06/11 15:15:49+00,528633
District Department of the Environment,2024/05/06 04:00:00+00,21.2,SQUARESPACE 127224174,NY,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,529027
Office of the Mayor,2024/05/06 04:00:00+00,650.4,MARRIOTT JW WASH DC,DC,MARRIOTT,2024/06/11 15:15:49+00,529050
City Administrator/Deputy Mayor,2024/05/06 04:00:00+00,100,MAILCHIMP,GA,Large Digital Goods Merchant,2024/06/11 15:15:49+00,529833
District of Columbia Public Schools,2024/05/06 04:00:00+00,131.83,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,529843
Fire & Emergency Medical Services,2024/05/06 04:00:00+00,263.76,AMAZON MAR* 112-938736,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,529849
District of Columbia Public Schools,2024/05/06 04:00:00+00,540,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529866
District of Columbia Public Schools,2024/05/06 04:00:00+00,1675.34,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529867
DC Public Library,2024/05/06 04:00:00+00,318.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,529869
District of Columbia Public Schools,2024/05/06 04:00:00+00,959.2,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529871
District Department of the Environment,2024/05/06 04:00:00+00,-647.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,529876
DC Public Library,2024/05/06 04:00:00+00,47.96,DISPUTE REBILL,IL,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530278
DC Public Library,2024/05/06 04:00:00+00,23.96,DISPUTE REBILL,IL,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530279
Department of Health,2024/05/06 04:00:00+00,408.21,UNITED AIRLINES,IL,UNITED AIRLINES,2024/06/11 15:15:49+00,531474
Fire & Emergency Medical Services,2024/05/05 04:00:00+00,2912.75,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525309
District of Columbia Public Schools,2024/05/05 04:00:00+00,41.78,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525320
District of Columbia Public Schools,2024/05/05 04:00:00+00,-111.58,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,525333
District of Columbia Public Schools,2024/05/05 04:00:00+00,169.63,LINKEDIN ADS 952784581,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,525756
District of Columbia Public Schools,2024/05/05 04:00:00+00,500.63,INDEED 92504043,TX,EMPLOYMENT AGENCIES  TEMPORARY HELP SERVICES,2024/06/11 15:15:49+00,525757
District of Columbia Public Schools,2024/05/05 04:00:00+00,456.69,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,526592
District of Columbia Public Schools,2024/05/05 04:00:00+00,32.01,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527375
District of Columbia Public Schools,2024/05/05 04:00:00+00,333.32,AMAZON RET* 112-659100,WA,VARIETY STORES,2024/06/11 15:15:49+00,527376
District of Columbia Public Schools,2024/05/05 04:00:00+00,329.85,AMAZON.COM*LZ0980YH3,WA,BOOK STORES,2024/06/11 15:15:49+00,527377
District of Columbia Public Schools,2024/05/05 04:00:00+00,79.75,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527771
District of Columbia Public Schools,2024/05/05 04:00:00+00,67.83,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,527788
District of Columbia Public Schools,2024/05/05 04:00:00+00,495.35,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527789
District of Columbia Public Schools,2024/05/05 04:00:00+00,316.57,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527790
Fire & Emergency Medical Services,2024/05/05 04:00:00+00,47.08,TRACTOR SUPPLY CO #550,TN,MISC-AUTO-AIRCRAFT-FARM EQUIP  NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,527802
Fire & Emergency Medical Services,2024/05/05 04:00:00+00,132.52,AMAZON.COM*PE9831M03,WA,BOOK STORES,2024/06/11 15:15:49+00,528197
District of Columbia Public Schools,2024/05/05 04:00:00+00,48.43,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,528609
District of Columbia Public Schools,2024/05/05 04:00:00+00,415.51,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,529837
District of Columbia Public Schools,2024/05/05 04:00:00+00,465.89,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,529840
District of Columbia Public Schools,2024/05/05 04:00:00+00,136.74,B2B PRIME*O46SE3WA3,WA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,529844
District of Columbia Public Schools,2024/05/05 04:00:00+00,-55.79,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,529880
District of Columbia Public Schools,2024/05/05 04:00:00+00,-55.79,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,529881
District of Columbia Public Schools,2024/05/05 04:00:00+00,-55.79,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,529882
District of Columbia Public Schools,2024/05/05 04:00:00+00,-55.79,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,530273
District of Columbia Public Schools,2024/05/05 04:00:00+00,-55.79,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,530274
District of Columbia Public Schools,2024/05/05 04:00:00+00,105.3,AMAZON.COM*S57H754R3,WA,BOOK STORES,2024/06/11 15:15:49+00,530275
District of Columbia Public Schools,2024/05/05 04:00:00+00,88.96,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,530291
District of Columbia Public Schools,2024/05/05 04:00:00+00,45.38,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,530671
District of Columbia Public Schools,2024/05/05 04:00:00+00,435.04,AMAZON RET* 114-719586,WA,VARIETY STORES,2024/06/11 15:15:49+00,530672
District of Columbia Public Schools,2024/05/05 04:00:00+00,2000,PAYPAL,NJ,ACCESSORY AND APPAREL STORES-MISCELLANEOUS,2024/06/11 15:15:49+00,531488
District of Columbia Public Schools,2024/05/04 04:00:00+00,-111.58,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,525332
District of Columbia Public Schools,2024/05/04 04:00:00+00,-55.79,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,525334
District of Columbia Public Schools,2024/05/04 04:00:00+00,470.72,LINKEDIN ADS 952496310,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,525755
Department of Parks & Recreation,2024/05/04 04:00:00+00,4829.86,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,527370
Department of Parks & Recreation,2024/05/04 04:00:00+00,79.61,WALMART.COM,AR,DISCOUNT STORES,2024/06/11 15:15:49+00,527372
Department of Parks & Recreation,2024/05/04 04:00:00+00,350,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527373
District of Columbia Public Schools,2024/05/04 04:00:00+00,-149.48,LOGAN HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,528198
District of Columbia Public Schools,2024/05/04 04:00:00+00,129.7,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,528605
District of Columbia Public Schools,2024/05/04 04:00:00+00,167.97,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,528608
City Administrator/Deputy Mayor,2024/05/04 04:00:00+00,119.99,CANVA* 04141-31945027,DE,COMMERCIAL ART  GRAPHICS  PHOTOGRAPHY,2024/06/11 15:15:49+00,529445
Fire & Emergency Medical Services,2024/05/04 04:00:00+00,2328.87,IN *TOTAL KITCHEN CARE,MD,CLEANING AND MAINTENANCE  JANITORIAL SERVICES,2024/06/11 15:15:49+00,529842
Office of the Attorney General,2024/05/04 04:00:00+00,227,DELAWARE CORP & TAX WE,DE,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529850
Office of the Attorney General,2024/05/04 04:00:00+00,52,DELAWARE CORP & TAX WE,DE,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529851
DC National Guard,2024/05/04 04:00:00+00,14.42,BIB BACKGROUND CHECKS,NC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,530286
District of Columbia Public Schools,2024/05/04 04:00:00+00,481.72,SAGE PUBLICATIONS,CA,NEWS DEALERS AND NEWSSTANDS,2024/06/11 15:15:49+00,530675
Department of Health,2024/05/04 04:00:00+00,408.19,AMERICAN AIRLINES,OK,AMERICAN AIRLINES,2024/06/11 15:15:49+00,531079
Department of Health,2024/05/04 04:00:00+00,25.28,AMERICAN AIRLINES,OK,AMERICAN AIRLINES,2024/06/11 15:15:49+00,531080
Fire & Emergency Medical Services,2024/05/04 04:00:00+00,60.86,GALLS,KY,MENS-WOMENS-CHILDRENS UNIFORMS-COMMERCIAL CLOTH,2024/06/11 15:15:49+00,531082
District of Columbia Public Schools,2024/05/04 04:00:00+00,260,ALISON'S MONTESSORI,NJ,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,531449
District of Columbia Public Schools,2024/05/04 04:00:00+00,44,ALISON'S MONTESSORI,NJ,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,531450
District of Columbia Public Schools,2024/05/04 04:00:00+00,83,ALISON'S MONTESSORI,NJ,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,531451
District of Columbia Public Schools,2024/05/04 04:00:00+00,193.48,ALISON'S MONTESSORI,NJ,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,531452
District of Columbia Public Schools,2024/05/04 04:00:00+00,444,ALISON'S MONTESSORI,NJ,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,531453
District of Columbia Public Schools,2024/05/03 04:00:00+00,420,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525312
District of Columbia Public Schools,2024/05/03 04:00:00+00,2624,JOSTENS INC.,MN,GIFT  CARD  NOVELTY AND SOUVENIR SHOPS,2024/06/11 15:15:49+00,525315
District of Columbia Public Schools,2024/05/03 04:00:00+00,5000,STAR OFFICE PRODUCTS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,525316
Fire & Emergency Medical Services,2024/05/03 04:00:00+00,50.5,FISDAP,MN,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,525318
District of Columbia Public Schools,2024/05/03 04:00:00+00,143.56,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,525319
Office of the Mayor,2024/05/03 04:00:00+00,480,SENODA INC,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,525752
Office of the Chief Medical Examiner,2024/05/03 04:00:00+00,350.34,DC BAR,DC,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,526551
Office of the Chief Financial Officer,2024/05/03 04:00:00+00,223.64,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,526964
District of Columbia Public Schools,2024/05/03 04:00:00+00,441.34,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527343
Department of Parks & Recreation,2024/05/03 04:00:00+00,600,IN *CAPITAL CITY RESTA,CA,EATING PLACES  RESTAURANTS,2024/06/11 15:15:49+00,527369
Department of Parks & Recreation,2024/05/03 04:00:00+00,3428,LAMB AWARDS,MD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,527371
District Department of the Environment,2024/05/03 04:00:00+00,1851.76,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527374
District of Columbia Public Schools,2024/05/03 04:00:00+00,772.5,BARON TOURS,MD,TRANSPRTN-SUBRBN + LOCAL COMTR PSNGR  INCL FERRIES,2024/06/11 15:15:49+00,527384
District of Columbia Public Schools,2024/05/03 04:00:00+00,3000,NATIONAL COUNCIL FOR A,IN,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527385
District of Columbia Public Schools,2024/05/03 04:00:00+00,242.13,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527389
District of Columbia Public Schools,2024/05/03 04:00:00+00,234.28,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527390
District of Columbia Public Schools,2024/05/03 04:00:00+00,297.05,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527391
District of Columbia Public Schools,2024/05/03 04:00:00+00,350,EEOC TRAINING INST,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527392
District Department of the Environment,2024/05/03 04:00:00+00,435,SENODA INC,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,527781
DC National Guard,2024/05/03 04:00:00+00,3900,"SQ *MPSERVICES DC, LLC",MD,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527783
District of Columbia Public Schools,2024/05/03 04:00:00+00,1823.66,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,527791
District of Columbia Public Schools,2024/05/03 04:00:00+00,46.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,527795
DC Public Library,2024/05/03 04:00:00+00,245.28,WP CLASSIFIED ADV,DC,ADVERTISING SERVICES,2024/06/11 15:15:49+00,528204
Office of the Chief Financial Officer,2024/05/03 04:00:00+00,2590.95,"IN *SUPRETECH, INC.",CA,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,528205
Office of the Attorney General,2024/05/03 04:00:00+00,1022.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,528206
Office of the Attorney General,2024/05/03 04:00:00+00,1022.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,528207
District of Columbia Public Schools,2024/05/03 04:00:00+00,1118.37,"4IMPRINT, INC",WI,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW.,2024/06/11 15:15:49+00,528208
District Department of the Environment,2024/05/03 04:00:00+00,1153.76,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,528213
District Department of the Environment,2024/05/03 04:00:00+00,-23.64,HYATT REGENCY CHESAPEA,MD,HYATT HOTELS,2024/06/11 15:15:49+00,528604
District of Columbia Public Schools,2024/05/03 04:00:00+00,600,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,528606
District of Columbia Public Schools,2024/05/03 04:00:00+00,720,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,528607
District of Columbia Public Schools,2024/05/03 04:00:00+00,432.92,DNH*GODADDY.COM,AZ,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,528613
"Department of Insurance, Securities & Banking",2024/05/03 04:00:00+00,2348.21,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,529017
District of Columbia Public Schools,2024/05/03 04:00:00+00,34.95,TWILIO SENDGRID,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,529019
District of Columbia Public Schools,2024/05/03 04:00:00+00,1532.85,COAST2COAST,DC,TRAVEL AGENCIES AND TOUR OPERATORS,2024/06/11 15:15:49+00,529020
District Department of the Environment,2024/05/03 04:00:00+00,318.9,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,529022
District of Columbia Public Schools,2024/05/03 04:00:00+00,314.95,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529024
District Department of the Environment,2024/05/03 04:00:00+00,1169.3,SHERATON GRAND CHICAGO,IL,SHERATON,2024/06/11 15:15:49+00,529026
Office of Contracting & Procurement,2024/05/03 04:00:00+00,125.07,AMAZON MAR* 111-887213,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,529028
District Department of the Environment,2024/05/03 04:00:00+00,103,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,529044
Office of Contracting & Procurement,2024/05/03 04:00:00+00,8.67,RWLV HOTEL FRONT DESK,NV,HILTON,2024/06/11 15:15:49+00,529424
Office of Contracting & Procurement,2024/05/03 04:00:00+00,151.72,RWLV HOTEL FRONT DESK,NV,HILTON,2024/06/11 15:15:49+00,529425
District of Columbia Public Schools,2024/05/03 04:00:00+00,-4.79,STAPLES       00115618,MD,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,529834
District of Columbia Public Schools,2024/05/03 04:00:00+00,53.53,STAPLES       00115618,MD,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,529835
District Department of the Environment,2024/05/03 04:00:00+00,134.64,BOAT HOUSE AT FLETCHER,DC,MARINAS  MARINE SERVICE-SUPPLIES,2024/06/11 15:15:49+00,529836
District of Columbia Public Schools,2024/05/03 04:00:00+00,-1034.41,"SP PSS, INC",NC,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,529841
District of Columbia Public Schools,2024/05/03 04:00:00+00,207.79,CROWN AWARDS INC,NY,SPORTING GOODS STORES,2024/06/11 15:15:49+00,529848
